Designator,Mid X,Mid Y,Rotation,Layer
C1,16.56,16.868,90,top
C2,16.56,22.349,270,top
C3,29.0965,2.6,180,top
C4,16.05,8.9,90,top
C5,29.25,14.8,90,top
C6,29.55,5.9,90,top
C7,40.3,6.17,270,top
C8,13.97,16.868,90,top
C9,13.97,22.349,270,top
J1,5.5,12.8,270,top
J2,52.85,14,90,top
L1,38.05,20.2,0,top
Q1,23.39,23.63,90,top
Q2,23.25,16.7,270,top
R1,32.65,2.621,0,top
R2,32.95,6.4,90,top
R3,16.05,4.6,90,top
R4,31.75,10.4,0,top
U1,22.05,7.2,0,top
